name,stra.13321,stra.13332,stra.13442,stra.14642
17800,0.999934,1.60E-07,5.52E-08,4.9E-324
17900,0.999738,1.47E-07,5.01E-08,4.9E-324
18000,0.999538,1.34E-07,4.54E-08,4.9E-324
18100,0.999992,1.23E-07,4.13E-08,4.9E-324
18200,0.99899,1.12E-07,3.74E-08,4.9E-324
18300,0.999898,1.03E-07,3.40E-08,4.9E-324
18400,0.999881,9.41E-08,3.08E-08,4.9E-324
18500,0.999641,8.61E-08,2.80E-08,4.9E-324
18600,0.999975,7.89E-08,2.54E-08,4.9E-324
18700,0.999945,7.22E-08,2.31E-08,4.9E-324
18800,0.999998,6.61E-08,2.09E-08,4.9E-324
18900,0.999956,6.05E-08,1.90E-08,4.9E-324
19000,0.999998,5.54E-08,1.72E-08,4.9E-324
19100,0.999986,5.07E-08,1.56E-08,4.9E-324
19200,0.999345,4.64E-08,1.42E-08,4.9E-324
19300,0.999557,4.24E-08,1.29E-08,4.9E-324
19400,0.999947,3.89E-08,1.17E-08,4.9E-324
19500,0.999822,3.56E-08,1.06E-08,4.9E-324
19600,0.999796,3.25E-08,9.62E-09,4.9E-324
19700,0.999293,2.98E-08,8.73E-09,4.9E-324
19800,0.999527,2.73E-08,7.92E-09,4.9E-324
19900,0.999991,2.50E-08,7.20E-09,4.9E-324
20000,0.998746,2.28E-08,6.52E-09,4.9E-324
20100,0.998448,2.09E-08,5.92E-09,4.9E-324
20200,0.999419,1.91E-08,5.37E-09,4.9E-324
20300,0.999706,1.75E-08,4.88E-09,4.9E-324
20400,0.999681,1.60E-08,4.43E-09,4.9E-324
20500,0.999926,1.47E-08,4.02E-09,4.9E-324
20600,0.999573,1.34E-08,3.65E-09,4.9E-324
20700,0.999831,1.23E-08,3.31E-09,4.9E-324
20800,0.999818,1.13E-08,3.00E-09,4.9E-324
20900,0.999977,1.03E-08,2.73E-09,4.9E-324
