name,stra.13320,stra.13321,stra.13463,stra.13563,stra.13682,stra.13695,stra.13926,stra.14642
141,0.000151216,0.000118069,0.000637813,0.000531301,0.00103599,0.000384038,0.00010803,2.75E-05
142,0.0001494,0.00011695,0.00063938,0.000533667,0.00104069,0.000387846,0.000109441,2.66E-05
143,0.000147597,0.000115833,0.000640878,0.000535978,0.00104528,0.000391637,0.000110855,2.58E-05
144,0.000145808,0.000114719,0.000642309,0.000538233,0.00104977,0.000395411,0.000112271,2.50E-05
145,0.000144033,0.000113609,0.000643673,0.000540434,0.00105415,0.000399168,0.000113689,2.43E-05
146,0.000142271,0.000112503,0.000644972,0.000542582,0.00105843,0.000402908,0.00011511,2.36E-05
147,0.000140524,0.000111401,0.000646206,0.000544676,0.00106261,0.00040663,0.000116533,2.29E-05
148,0.00013879,0.000110303,0.000647377,0.000546718,0.00106669,0.000410334,0.000117959,2.22E-05
149,0.000137072,0.000109209,0.000648486,0.000548708,0.00107066,0.00041402,0.000119387,2.16E-05
150,0.000135368,0.00010812,0.000649533,0.000550646,0.00107454,0.000417689,0.000120817,2.09E-05
151,0.000133679,0.000107037,0.00065052,0.000552533,0.00107832,0.00042134,0.000122249,2.03E-05
152,0.000132005,0.000105958,0.000651448,0.00055437,0.001082,0.000424973,0.000123683,1.98E-05
153,0.000130345,0.000104885,0.000652317,0.000556157,0.00108558,0.000428587,0.000125119,1.92E-05
154,0.000128702,0.000103817,0.00065313,0.000557894,0.00108907,0.000432183,0.000126557,1.86E-05
155,0.000127073,0.000102755,0.000653885,0.000559582,0.00109247,0.000435761,0.000127997,1.81E-05
156,0.00012546,0.0001017,0.000654585,0.000561223,0.00109577,0.00043932,0.000129438,1.76E-05
157,0.000123862,0.00010065,0.000655231,0.000562815,0.00109898,0.000442861,0.000130881,1.71E-05
158,0.00012228,9.96E-05,0.000655823,0.00056436,0.00110209,0.000446383,0.000132326,1.67E-05
159,0.000120714,9.86E-05,0.000656362,0.000565858,0.00110512,0.000449886,0.000133772,1.62E-05
160,0.000119163,9.75E-05,0.000656849,0.00056731,0.00110806,0.000453371,0.00013522,1.58E-05
161,0.000117628,9.65E-05,0.000657285,0.000568716,0.00111091,0.000456837,0.00013667,1.53E-05
162,0.000116108,9.55E-05,0.000657671,0.000570076,0.00111367,0.000460283,0.00013812,1.49E-05
163,0.000114604,9.45E-05,0.000658008,0.000571393,0.00111634,0.000463711,0.000139572,1.45E-05
164,0.000113116,9.35E-05,0.000658296,0.000572664,0.00111893,0.000467119,0.000141025,1.41E-05
165,0.000111643,9.25E-05,0.000658537,0.000573892,0.00112143,0.000470509,0.00014248,1.38E-05
166,0.000110186,9.15E-05,0.00065873,0.000575077,0.00112385,0.000473879,0.000143935,1.34E-05
167,0.000108745,9.05E-05,0.000658878,0.000576219,0.00112618,0.00047723,0.000145392,1.30E-05
168,0.000107319,8.95E-05,0.000658981,0.000577319,0.00112844,0.000480561,0.00014685,1.27E-05
169,0.000105909,8.86E-05,0.000659039,0.000578377,0.00113061,0.000483873,0.000148308,1.24E-05
170,0.000104514,8.76E-05,0.000659053,0.000579393,0.0011327,0.000487166,0.000149768,1.21E-05
171,0.000103135,8.67E-05,0.000659025,0.000580369,0.00113471,0.000490439,0.000151228,1.17E-05
172,0.000101771,8.57E-05,0.000658954,0.000581305,0.00113665,0.000493692,0.000152689,1.14E-05
173,0.000100422,8.48E-05,0.000658842,0.0005822,0.0011385,0.000496926,0.000154151,1.12E-05
174,9.91E-05,8.38E-05,0.00065869,0.000583057,0.00114028,0.000500141,0.000155614,1.09E-05
175,9.78E-05,8.29E-05,0.000658497,0.000583874,0.00114199,0.000503336,0.000157077,1.06E-05
176,9.65E-05,8.20E-05,0.000658265,0.000584653,0.00114361,0.000506511,0.000158541,1.03E-05
177,9.52E-05,8.11E-05,0.000657995,0.000585394,0.00114517,0.000509666,0.000160005,1.01E-05
178,9.39E-05,8.02E-05,0.000657687,0.000586097,0.00114665,0.000512802,0.00016147,9.83E-06
179,9.26E-05,7.93E-05,0.000657341,0.000586763,0.00114806,0.000515918,0.000162935,9.59E-06
180,9.14E-05,7.84E-05,0.00065696,0.000587393,0.00114939,0.000519014,0.000164401,9.36E-06
181,9.02E-05,7.76E-05,0.000656542,0.000587986,0.00115066,0.00052209,0.000165867,9.13E-06
182,8.90E-05,7.67E-05,0.000656089,0.000588544,0.00115185,0.000525146,0.000167333,8.91E-06
183,8.78E-05,7.58E-05,0.000655602,0.000589067,0.00115298,0.000528183,0.000168799,8.70E-06
184,8.66E-05,7.50E-05,0.000655081,0.000589554,0.00115404,0.000531199,0.000170266,8.49E-06
185,8.54E-05,7.41E-05,0.000654527,0.000590007,0.00115503,0.000534196,0.000171732,8.29E-06
186,8.43E-05,7.33E-05,0.00065394,0.000590426,0.00115595,0.000537173,0.000173199,8.09E-06
187,8.31E-05,7.25E-05,0.000653321,0.000590812,0.00115681,0.00054013,0.000174666,7.90E-06
188,8.20E-05,7.16E-05,0.000652671,0.000591165,0.0011576,0.000543067,0.000176132,7.72E-06
189,8.09E-05,7.08E-05,0.00065199,0.000591484,0.00115833,0.000545984,0.000177599,7.54E-06
190,7.98E-05,7.00E-05,0.000651279,0.000591772,0.00115899,0.000548881,0.000179065,7.36E-06
