name,stra.13200,stra.13663,stra.13664,stra.13784,stra.13785,stra.13786,stra.13905,stra.13906,stra.14026,stra.14027,stra.14147,stra.14393,stra.14399,stra.14511,stra.14512,stra.14642
100,9.65E-45,0.000149818,4.70E-06,9.37E-05,1.76E-06,1.86E-08,5.10E-05,4.72E-07,2.27E-05,7.79E-08,7.35E-06,9.96E-23,5.93E-29,3.44E-19,6.30E-24,0.000180364
101,3.65E-45,0.000155605,4.70E-06,9.74E-05,1.75E-06,1.76E-08,5.30E-05,4.66E-07,2.36E-05,7.61E-08,7.64E-06,6.84E-23,3.49E-29,2.67E-19,4.30E-24,0.000184779
102,1.38E-45,0.000161707,4.70E-06,0.000101374,1.75E-06,1.67E-08,5.52E-05,4.61E-07,2.46E-05,7.45E-08,7.95E-06,4.71E-23,2.06E-29,2.08E-19,2.94E-24,0.000189355
103,5.27E-46,0.000168146,4.71E-06,0.000105533,1.74E-06,1.58E-08,5.75E-05,4.57E-07,2.56E-05,7.30E-08,8.28E-06,3.26E-23,1.22E-29,1.62E-19,2.02E-24,0.000194102
104,2.02E-46,0.000174947,4.72E-06,0.000109936,1.74E-06,1.50E-08,6.00E-05,4.54E-07,2.67E-05,7.16E-08,8.63E-06,2.25E-23,7.23E-30,1.27E-19,1.39E-24,0.00019903
105,7.73E-47,0.000182136,4.74E-06,0.000114602,1.74E-06,1.42E-08,6.26E-05,4.51E-07,2.79E-05,7.03E-08,9.00E-06,1.57E-23,4.31E-30,9.96E-20,9.60E-25,0.000204149
106,2.98E-47,0.000189743,4.76E-06,0.00011955,1.74E-06,1.36E-08,6.53E-05,4.48E-07,2.91E-05,6.92E-08,9.40E-06,1.09E-23,2.58E-30,7.84E-20,6.65E-25,0.00020947
107,1.15E-47,0.0001978,4.79E-06,0.000124803,1.75E-06,1.29E-08,6.83E-05,4.46E-07,3.04E-05,6.82E-08,9.82E-06,7.63E-24,1.55E-30,6.18E-20,4.62E-25,0.000215004
108,4.47E-48,0.000206341,4.82E-06,0.000130387,1.75E-06,1.23E-08,7.14E-05,4.45E-07,3.19E-05,6.72E-08,1.03E-05,5.35E-24,9.35E-31,4.89E-20,3.22E-25,0.000220764
109,1.74E-48,0.000215405,4.86E-06,0.000136328,1.76E-06,1.18E-08,7.48E-05,4.44E-07,3.34E-05,6.64E-08,1.08E-05,3.76E-24,5.66E-31,3.87E-20,2.25E-25,0.000226765
110,6.84E-49,0.000225033,4.91E-06,0.000142656,1.77E-06,1.13E-08,7.83E-05,4.44E-07,3.50E-05,6.58E-08,1.13E-05,2.65E-24,3.45E-31,3.08E-20,1.58E-25,0.000233021
111,2.69E-49,0.000235274,4.96E-06,0.000149405,1.79E-06,1.08E-08,8.22E-05,4.45E-07,3.67E-05,6.52E-08,1.18E-05,1.88E-24,2.11E-31,2.46E-20,1.11E-25,0.000239548
112,1.07E-49,0.000246177,5.02E-06,0.000156611,1.80E-06,1.04E-08,8.63E-05,4.46E-07,3.86E-05,6.47E-08,1.24E-05,1.34E-24,1.29E-31,1.96E-20,7.88E-26,0.000246365
113,4.24E-50,0.000257799,5.09E-06,0.000164315,1.82E-06,1.00E-08,9.06E-05,4.48E-07,4.06E-05,6.44E-08,1.31E-05,9.54E-25,7.97E-32,1.58E-20,5.59E-26,0.00025349
114,1.69E-50,0.000270204,5.17E-06,0.000172562,1.84E-06,9.66E-09,9.53E-05,4.51E-07,4.28E-05,6.42E-08,1.38E-05,6.83E-25,4.94E-32,1.27E-20,3.98E-26,0.000260944
