Strategy_Type,p1,p2,p3,p4
stra.376,0.01,0.3,0.1,0.1
stra.377,0.01,0.3,0.1,0.2
stra.378,0.01,0.3,0.1,0.3
stra.379,0.01,0.3,0.1,0.4
stra.380,0.01,0.3,0.1,0.5
stra.381,0.01,0.3,0.1,0.6
stra.382,0.01,0.3,0.1,0.7
stra.383,0.01,0.3,0.1,0.8
stra.384,0.01,0.3,0.1,0.9
stra.385,0.01,0.3,0.1,0.99
stra.386,0.01,0.3,0.2,0.01
stra.387,0.01,0.3,0.2,0.1
stra.388,0.01,0.3,0.2,0.2
stra.389,0.01,0.3,0.2,0.3
stra.390,0.01,0.3,0.2,0.4
stra.391,0.01,0.3,0.2,0.5
stra.392,0.01,0.3,0.2,0.6
stra.393,0.01,0.3,0.2,0.7
stra.394,0.01,0.3,0.2,0.8
stra.395,0.01,0.3,0.2,0.9
stra.396,0.01,0.3,0.2,0.99
stra.397,0.01,0.3,0.3,0.01
stra.398,0.01,0.3,0.3,0.1
stra.399,0.01,0.3,0.3,0.2
stra.400,0.01,0.3,0.3,0.3
stra.401,0.01,0.3,0.3,0.4
stra.402,0.01,0.3,0.3,0.5
stra.403,0.01,0.3,0.3,0.6
stra.404,0.01,0.3,0.3,0.7
stra.405,0.01,0.3,0.3,0.8
stra.406,0.01,0.3,0.3,0.9
stra.407,0.01,0.3,0.3,0.99
stra.408,0.01,0.3,0.4,0.01
stra.409,0.01,0.3,0.4,0.1
stra.410,0.01,0.3,0.4,0.2
stra.411,0.01,0.3,0.4,0.3
stra.412,0.01,0.3,0.4,0.4
stra.413,0.01,0.3,0.4,0.5
stra.414,0.01,0.3,0.4,0.6
stra.415,0.01,0.3,0.4,0.7
stra.416,0.01,0.3,0.4,0.8
stra.417,0.01,0.3,0.4,0.9
stra.418,0.01,0.3,0.4,0.99
stra.419,0.01,0.3,0.5,0.01
stra.420,0.01,0.3,0.5,0.1
stra.421,0.01,0.3,0.5,0.2
stra.422,0.01,0.3,0.5,0.3
stra.423,0.01,0.3,0.5,0.4
stra.424,0.01,0.3,0.5,0.5
stra.425,0.01,0.3,0.5,0.6
stra.426,0.01,0.3,0.5,0.7
stra.427,0.01,0.3,0.5,0.8
stra.428,0.01,0.3,0.5,0.9
stra.429,0.01,0.3,0.5,0.99
stra.430,0.01,0.3,0.6,0.01
stra.431,0.01,0.3,0.6,0.1
stra.432,0.01,0.3,0.6,0.2
stra.433,0.01,0.3,0.6,0.3
stra.434,0.01,0.3,0.6,0.4
stra.435,0.01,0.3,0.6,0.5
stra.436,0.01,0.3,0.6,0.6
stra.437,0.01,0.3,0.6,0.7
stra.438,0.01,0.3,0.6,0.8
stra.439,0.01,0.3,0.6,0.9
stra.440,0.01,0.3,0.6,0.99
stra.441,0.01,0.3,0.7,0.01
stra.442,0.01,0.3,0.7,0.1
stra.443,0.01,0.3,0.7,0.2
stra.444,0.01,0.3,0.7,0.3
stra.445,0.01,0.3,0.7,0.4
stra.446,0.01,0.3,0.7,0.5
stra.447,0.01,0.3,0.7,0.6
stra.448,0.01,0.3,0.7,0.7
stra.449,0.01,0.3,0.7,0.8
stra.450,0.01,0.3,0.7,0.9
stra.451,0.01,0.3,0.7,0.99
stra.452,0.01,0.3,0.8,0.01
stra.453,0.01,0.3,0.8,0.1
stra.454,0.01,0.3,0.8,0.2
stra.455,0.01,0.3,0.8,0.3
stra.456,0.01,0.3,0.8,0.4
stra.457,0.01,0.3,0.8,0.5
stra.458,0.01,0.3,0.8,0.6
stra.459,0.01,0.3,0.8,0.7
stra.460,0.01,0.3,0.8,0.8
stra.461,0.01,0.3,0.8,0.9
stra.462,0.01,0.3,0.8,0.99
stra.463,0.01,0.3,0.9,0.01
stra.464,0.01,0.3,0.9,0.1
stra.465,0.01,0.3,0.9,0.2
stra.466,0.01,0.3,0.9,0.3
stra.467,0.01,0.3,0.9,0.4
stra.468,0.01,0.3,0.9,0.5
stra.469,0.01,0.3,0.9,0.6
stra.470,0.01,0.3,0.9,0.7
stra.471,0.01,0.3,0.9,0.8
stra.472,0.01,0.3,0.9,0.9
stra.473,0.01,0.3,0.9,0.99
stra.474,0.01,0.3,0.99,0.01
stra.475,0.01,0.3,0.99,0.1
stra.476,0.01,0.3,0.99,0.2
stra.477,0.01,0.3,0.99,0.3
stra.478,0.01,0.3,0.99,0.4
stra.479,0.01,0.3,0.99,0.5
stra.480,0.01,0.3,0.99,0.6
stra.481,0.01,0.3,0.99,0.7
stra.482,0.01,0.3,0.99,0.8
stra.483,0.01,0.3,0.99,0.9
stra.484,0.01,0.3,0.99,0.99
stra.485,0.01,0.4,0.01,0.01
stra.486,0.01,0.4,0.01,0.1
stra.487,0.01,0.4,0.01,0.2
stra.488,0.01,0.4,0.01,0.3
stra.489,0.01,0.4,0.01,0.4
stra.490,0.01,0.4,0.01,0.5
stra.491,0.01,0.4,0.01,0.6
stra.492,0.01,0.4,0.01,0.7
stra.493,0.01,0.4,0.01,0.8
stra.494,0.01,0.4,0.01,0.9
stra.495,0.01,0.4,0.01,0.99
stra.496,0.01,0.4,0.1,0.01
stra.497,0.01,0.4,0.1,0.1
stra.498,0.01,0.4,0.1,0.2
stra.499,0.01,0.4,0.1,0.3
stra.500,0.01,0.4,0.1,0.4
stra.501,0.01,0.4,0.1,0.5
stra.502,0.01,0.4,0.1,0.6
stra.503,0.01,0.4,0.1,0.7
stra.504,0.01,0.4,0.1,0.8
stra.505,0.01,0.4,0.1,0.9
stra.506,0.01,0.4,0.1,0.99
stra.507,0.01,0.4,0.2,0.01
stra.508,0.01,0.4,0.2,0.1
stra.509,0.01,0.4,0.2,0.2
stra.510,0.01,0.4,0.2,0.3
stra.511,0.01,0.4,0.2,0.4
stra.512,0.01,0.4,0.2,0.5
stra.513,0.01,0.4,0.2,0.6
stra.514,0.01,0.4,0.2,0.7
stra.515,0.01,0.4,0.2,0.8
stra.516,0.01,0.4,0.2,0.9
stra.517,0.01,0.4,0.2,0.99
stra.518,0.01,0.4,0.3,0.01
stra.519,0.01,0.4,0.3,0.1
stra.520,0.01,0.4,0.3,0.2
stra.521,0.01,0.4,0.3,0.3
stra.522,0.01,0.4,0.3,0.4
stra.523,0.01,0.4,0.3,0.5
stra.524,0.01,0.4,0.3,0.6
stra.525,0.01,0.4,0.3,0.7
stra.526,0.01,0.4,0.3,0.8
stra.527,0.01,0.4,0.3,0.9
stra.528,0.01,0.4,0.3,0.99
stra.529,0.01,0.4,0.4,0.01
stra.530,0.01,0.4,0.4,0.1
stra.531,0.01,0.4,0.4,0.2
stra.532,0.01,0.4,0.4,0.3
stra.533,0.01,0.4,0.4,0.4
stra.534,0.01,0.4,0.4,0.5
stra.535,0.01,0.4,0.4,0.6
stra.536,0.01,0.4,0.4,0.7
stra.537,0.01,0.4,0.4,0.8
stra.538,0.01,0.4,0.4,0.9
stra.539,0.01,0.4,0.4,0.99
stra.540,0.01,0.4,0.5,0.01
stra.541,0.01,0.4,0.5,0.1
stra.542,0.01,0.4,0.5,0.2
stra.543,0.01,0.4,0.5,0.3
stra.544,0.01,0.4,0.5,0.4
stra.545,0.01,0.4,0.5,0.5
stra.546,0.01,0.4,0.5,0.6
stra.547,0.01,0.4,0.5,0.7
stra.548,0.01,0.4,0.5,0.8
stra.549,0.01,0.4,0.5,0.9
stra.550,0.01,0.4,0.5,0.99
stra.551,0.01,0.4,0.6,0.01
stra.552,0.01,0.4,0.6,0.1
stra.553,0.01,0.4,0.6,0.2
stra.554,0.01,0.4,0.6,0.3
stra.555,0.01,0.4,0.6,0.4
stra.556,0.01,0.4,0.6,0.5
stra.557,0.01,0.4,0.6,0.6
stra.558,0.01,0.4,0.6,0.7
stra.559,0.01,0.4,0.6,0.8
stra.560,0.01,0.4,0.6,0.9
stra.561,0.01,0.4,0.6,0.99
stra.562,0.01,0.4,0.7,0.01
stra.563,0.01,0.4,0.7,0.1
stra.564,0.01,0.4,0.7,0.2
stra.565,0.01,0.4,0.7,0.3
stra.566,0.01,0.4,0.7,0.4
stra.567,0.01,0.4,0.7,0.5
stra.568,0.01,0.4,0.7,0.6
stra.569,0.01,0.4,0.7,0.7
stra.570,0.01,0.4,0.7,0.8
stra.571,0.01,0.4,0.7,0.9
stra.572,0.01,0.4,0.7,0.99
stra.573,0.01,0.4,0.8,0.01
stra.574,0.01,0.4,0.8,0.1
stra.575,0.01,0.4,0.8,0.2
stra.576,0.01,0.4,0.8,0.3
stra.577,0.01,0.4,0.8,0.4
stra.578,0.01,0.4,0.8,0.5
stra.579,0.01,0.4,0.8,0.6
stra.580,0.01,0.4,0.8,0.7
stra.581,0.01,0.4,0.8,0.8
stra.582,0.01,0.4,0.8,0.9
stra.583,0.01,0.4,0.8,0.99
stra.584,0.01,0.4,0.9,0.01
stra.585,0.01,0.4,0.9,0.1
stra.586,0.01,0.4,0.9,0.2
stra.587,0.01,0.4,0.9,0.3
stra.588,0.01,0.4,0.9,0.4
stra.589,0.01,0.4,0.9,0.5
stra.590,0.01,0.4,0.9,0.6
stra.591,0.01,0.4,0.9,0.7
stra.592,0.01,0.4,0.9,0.8
stra.593,0.01,0.4,0.9,0.9
stra.594,0.01,0.4,0.9,0.99
stra.595,0.01,0.4,0.99,0.01
stra.596,0.01,0.4,0.99,0.1
stra.597,0.01,0.4,0.99,0.2
stra.598,0.01,0.4,0.99,0.3
stra.599,0.01,0.4,0.99,0.4
stra.600,0.01,0.4,0.99,0.5
stra.601,0.01,0.4,0.99,0.6
stra.602,0.01,0.4,0.99,0.7
stra.603,0.01,0.4,0.99,0.8
stra.604,0.01,0.4,0.99,0.9
stra.605,0.01,0.4,0.99,0.99
stra.606,0.01,0.5,0.01,0.01
stra.607,0.01,0.5,0.01,0.1
stra.608,0.01,0.5,0.01,0.2
stra.609,0.01,0.5,0.01,0.3
stra.610,0.01,0.5,0.01,0.4
stra.611,0.01,0.5,0.01,0.5
stra.612,0.01,0.5,0.01,0.6
stra.613,0.01,0.5,0.01,0.7
stra.614,0.01,0.5,0.01,0.8
stra.615,0.01,0.5,0.01,0.9
stra.616,0.01,0.5,0.01,0.99
stra.617,0.01,0.5,0.1,0.01
stra.618,0.01,0.5,0.1,0.1
stra.619,0.01,0.5,0.1,0.2
stra.620,0.01,0.5,0.1,0.3
stra.621,0.01,0.5,0.1,0.4
stra.622,0.01,0.5,0.1,0.5
stra.623,0.01,0.5,0.1,0.6
stra.624,0.01,0.5,0.1,0.7
stra.625,0.01,0.5,0.1,0.8
stra.626,0.01,0.5,0.1,0.9
stra.627,0.01,0.5,0.1,0.99
stra.628,0.01,0.5,0.2,0.01
stra.629,0.01,0.5,0.2,0.1
stra.630,0.01,0.5,0.2,0.2
stra.631,0.01,0.5,0.2,0.3
stra.632,0.01,0.5,0.2,0.4
stra.633,0.01,0.5,0.2,0.5
stra.634,0.01,0.5,0.2,0.6
stra.635,0.01,0.5,0.2,0.7
stra.636,0.01,0.5,0.2,0.8
stra.637,0.01,0.5,0.2,0.9
stra.638,0.01,0.5,0.2,0.99
stra.639,0.01,0.5,0.3,0.01
stra.640,0.01,0.5,0.3,0.1
stra.641,0.01,0.5,0.3,0.2
stra.642,0.01,0.5,0.3,0.3
stra.643,0.01,0.5,0.3,0.4
stra.644,0.01,0.5,0.3,0.5
stra.645,0.01,0.5,0.3,0.6
stra.646,0.01,0.5,0.3,0.7
stra.647,0.01,0.5,0.3,0.8
stra.648,0.01,0.5,0.3,0.9
stra.649,0.01,0.5,0.3,0.99
stra.650,0.01,0.5,0.4,0.01
stra.651,0.01,0.5,0.4,0.1
stra.652,0.01,0.5,0.4,0.2
stra.653,0.01,0.5,0.4,0.3
stra.654,0.01,0.5,0.4,0.4
stra.655,0.01,0.5,0.4,0.5
stra.656,0.01,0.5,0.4,0.6
stra.657,0.01,0.5,0.4,0.7
stra.658,0.01,0.5,0.4,0.8
stra.659,0.01,0.5,0.4,0.9
stra.660,0.01,0.5,0.4,0.99
stra.661,0.01,0.5,0.5,0.01
