name,stra.14151,stra.14152,stra.14153,stra.14269,stra.14392,stra.14394,stra.14511,stra.14517,stra.14520,stra.14642,stra.13321
581000,1.23E-21,2.97E-19,3.62E-12,7.38E-41,0.0660132,0.271119,0.0263505,0.0134234,0.103999,0.434371,1.32E-213
581100,1.15E-21,2.79E-19,3.41E-12,7.15E-41,0.0661096,0.271829,0.0263739,0.0134807,0.104319,0.431603,2.11E-219
581200,1.08E-21,2.62E-19,3.20E-12,6.91E-41,0.0656945,0.270221,0.0260544,0.01334,0.10306,0.434966,3.35E-225
581300,1.01E-21,2.46E-19,3.01E-12,6.71E-41,0.0658269,0.270906,0.026066,0.0133702,0.103138,0.435325,4.68E-231
581400,9.50E-22,2.31E-19,2.83E-12,6.51E-41,0.0658961,0.27131,0.0260806,0.0133976,0.103197,0.433953,6.91E-237
581500,8.92E-22,2.17E-19,2.66E-12,6.31E-41,0.0657636,0.270851,0.0258766,0.01331,0.102355,0.435692,1.03E-242
581600,8.37E-22,2.04E-19,2.50E-12,6.11E-41,0.0654875,0.269744,0.0255925,0.0131772,0.10113,0.440025,1.32E-248
581700,7.83E-22,1.91E-19,2.35E-12,5.91E-41,0.0655244,0.270154,0.0255811,0.0132083,0.101239,0.438453,1.56E-254
581800,7.34E-22,1.79E-19,2.21E-12,5.73E-41,0.0654973,0.270272,0.0254701,0.0131922,0.100988,0.43961,1.93E-260
581900,6.89E-22,1.68E-19,2.07E-12,5.55E-41,0.0654121,0.270181,0.0252735,0.0131433,0.100525,0.440548,2.23E-266
582000,6.44E-22,1.58E-19,1.94E-12,5.37E-41,0.0651671,0.269256,0.0250548,0.0130567,0.099705,0.442327,2.51E-272
582100,6.02E-22,1.47E-19,1.82E-12,5.19E-41,0.0649504,0.26842,0.0248782,0.0129875,0.0990128,0.445759,2.45E-278
582200,5.62E-22,1.38E-19,1.71E-12,5.01E-41,0.0649343,0.268665,0.0248891,0.0130411,0.0993154,0.443041,2.32E-284
582300,5.25E-22,1.29E-19,1.60E-12,4.84E-41,0.0648117,0.268398,0.0248193,0.0130449,0.0992137,0.443789,2.34E-290
582400,4.92E-22,1.21E-19,1.50E-12,4.69E-41,0.0649577,0.26925,0.0249106,0.0131328,0.0997624,0.443713,2.27E-296
582500,4.59E-22,1.13E-19,1.40E-12,4.52E-41,0.0647783,0.268722,0.0248222,0.0131248,0.0995619,0.444302,2.26E-302
582600,4.30E-22,1.06E-19,1.32E-12,4.38E-41,0.0650358,0.2701,0.0250019,0.0132662,0.100532,0.440995,2.33E-308
582700,4.01E-22,9.88E-20,1.23E-12,4.23E-41,0.06474,0.268969,0.0248752,0.013218,0.0999968,0.441951,2.483901906E-314
582800,3.73E-22,9.21E-20,1.15E-12,4.08E-41,0.0643922,0.267569,0.0247469,0.0131679,0.0994436,0.443872,2.5726E-320
582900,3.49E-22,8.63E-20,1.08E-12,3.95E-41,0.0645167,0.268235,0.0248534,0.0132515,0.0999292,0.443492,2.0E-323
583000,3.26E-22,8.07E-20,1.01E-12,3.82E-41,0.0646057,0.268785,0.0249827,0.0133493,0.100546,0.441565,1.5E-323
583100,3.05E-22,7.54E-20,9.46E-13,3.69E-41,0.0645208,0.268545,0.0250036,0.0133873,0.10069,0.441619,1.5E-323
583200,2.85E-22,7.06E-20,8.86E-13,3.57E-41,0.0643924,0.268244,0.0249643,0.0134064,0.100719,0.442063,1.5E-323
583300,2.66E-22,6.59E-20,8.28E-13,3.44E-41,0.064143,0.267256,0.0248763,0.0133817,0.100359,0.442879,1.5E-323
583400,2.48E-22,6.16E-20,7.76E-13,3.33E-41,0.0642329,0.267875,0.0250021,0.0134903,0.101062,0.441821,1.5E-323
583500,2.32E-22,5.77E-20,7.27E-13,3.22E-41,0.0642908,0.268439,0.0251047,0.0135951,0.101749,0.440162,1.5E-323
583600,2.17E-22,5.39E-20,6.81E-13,3.11E-41,0.0642744,0.268572,0.025161,0.0136628,0.102118,0.439605,1.5E-323
583700,2.02E-22,5.04E-20,6.38E-13,3.01E-41,0.0643319,0.269093,0.0252676,0.0137666,0.102788,0.437801,1.5E-323
583800,1.89E-22,4.73E-20,5.99E-13,2.91E-41,0.0644226,0.269751,0.0253733,0.0138698,0.103449,0.43583,1.5E-323
583900,1.77E-22,4.43E-20,5.63E-13,2.82E-41,0.0644641,0.270184,0.0254286,0.0139441,0.103878,0.433927,1.5E-323
584000,1.67E-22,4.16E-20,5.30E-13,2.73E-41,0.0647003,0.271424,0.0255668,0.0140608,0.104619,0.432596,1.5E-323
584100,1.56E-22,3.91E-20,4.97E-13,2.65E-41,0.0646906,0.271477,0.025573,0.0140867,0.104655,0.431749,1.5E-323
584200,1.46E-22,3.66E-20,4.66E-13,2.56E-41,0.064293,0.269751,0.0253255,0.0139581,0.103474,0.435404,1.5E-323
584300,1.37E-22,3.44E-20,4.39E-13,2.48E-41,0.0643982,0.270396,0.0253535,0.0140081,0.103699,0.435506,1.5E-323
